,IDNK,C4orf33,INPP1,S100A4,NQO1,NSUN3,CCNI,C16orf58,RP11-386I14,G6PD,HLA-DPB1,ERGIC2,SIRT6,LACTB,NSL1,NUDT18,CD247,UNC45A,ATXN10,MRPL14,STAMBPL1,TMEM129,PHF1,CD46,HIST1H1E,MX1,WDR4,TBC1D7,OSTF1,CLEC2D,RPS11,HSPA5,PRKAR1A,EBPL,LGALS8,COX6C,CCDC92,RBM10,SAMSN1,LETMD1,SVIP,GCLM,BLZF1,TMEM71,AKAP8L,DHRS7,GPR114,GMFB,KIAA0947,HSPA14,NSMCE1,LENG1,UBA1,CDIPT,TRAPPC6A,ERGIC1,C1orf174,PMM1,PTP4A1,HPS4,RP5-827C21,FYN,AHSA2,CLINT1,THRAP3,SUDS3,PIM2,USP11,UBE2F,GAB3,RTN3,VAPA,RP11-1094M14,FLI1,TAGAP,WDR1,C6orf1,PASK,SLC52A2,USP48,STAG2,SYPL1,BAK1,MCMBP,PANK2,SNHG15,FCHO1,CAPG,WDR60,COX11,ATE1,ZMYM2,RSU1,PIK3R1,KBTBD4,SSU72,THEM4,SF3A2,BRK1,COPB1
RPS11,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,-0.142857142857143,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,2.39384082101473,-0.130434782608696,0,0,0,0,0,-0.111111111111111,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,-0.153846153846154,0,0,-0.111111111111111,0,0,-0.166666666666667,-0.142857142857143,0,0,-0.166666666666667,-0.125,0,0,0,-0.1,0,0,0,-0.0833333333333333,0,0,0,0,0,0,0,-0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,-0.222222222222222
HSPA5,-0.0952380952380952,0,-0.0454545454545455,0,-0.272727272727273,0,0,0,0,-0.25,0,-0.0833333333333333,-0.0869565217391304,0,0,0,-0.0769230769230769,-0.0434782608695652,0,0,-0.0769230769230769,0,-0.0476190476190476,-0.0454545454545455,0,-0.130434782608696,0,0,-0.0476190476190476,0,-0.130434782608696,4.32881910360171,-0.111111111111111,0,0,0,0,-0.04,0,0,-0.0476190476190476,-0.0909090909090909,-0.0416666666666667,0,0,-0.0454545454545455,0,-0.0476190476190476,0,-0.0869565217391304,0,-0.142857142857143,-0.107142857142857,-0.208333333333333,0,-0.0833333333333333,0,-0.0869565217391304,0,-0.0434782608695652,0,-0.0740740740740741,-0.0454545454545455,-0.0869565217391304,0,0,-0.0909090909090909,-0.0384615384615385,-0.0476190476190476,-0.0909090909090909,-0.12,-0.115384615384615,0,-0.0454545454545455,0,-0.037037037037037,0,-0.0434782608695652,0,-0.0416666666666667,0,-0.19047619047619,-0.0869565217391304,-0.0454545454545455,0,0,0,0,0,0,-0.0869565217391304,-0.0454545454545455,-0.0454545454545455,-0.0714285714285714,0,0,-0.0476190476190476,-0.0416666666666667,0,-0.173913043478261
PRKAR1A,-0.1,0,0,0,-0.0666666666666667,0,-0.0833333333333333,0,0,0,-0.1,0,-0.0833333333333333,-0.111111111111111,0,0,-0.0666666666666667,0,0,0,-0.230769230769231,0,0,0,0,-0.0769230769230769,0,0,0,-0.2,0,-0.111111111111111,3.07423214040861,0,0,0,0,0,-0.0909090909090909,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,-0.117647058823529,-0.214285714285714,0,-0.0769230769230769,0,-0.0833333333333333,0,0,0,-0.133333333333333,0,-0.0833333333333333,0,0,0,-0.0714285714285714,0,-0.0909090909090909,-0.142857142857143,0,0,0,-0.0666666666666667,0,0,-0.0909090909090909,0,0,0,-0.0833333333333333,0,0,0,0,0,0,0,0,0,-0.1,0,-0.125,0,0,-0.111111111111111,0,0,-0.0714285714285714
EBPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGALS8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM10,0,0,0,0,-0.0909090909090909,0,0,0,0,-0.0769230769230769,0,-0.111111111111111,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,-0.111111111111111,-0.04,0,0,0,0,0,3.44715395715396,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,-0.2,0,-0.0714285714285714,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,-0.285714285714286,-0.166666666666667,0,-0.1,-0.2,0,0,0,0,-0.166666666666667,0,0,0,0,0,-0.285714285714286,-0.0909090909090909,0,0,0,0,0,0,0,0,0,-0.125,-0.166666666666667,-0.166666666666667,0,0,-0.333333333333333,0,-0.125,0,0
SAMSN1,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.0909090909090909,0,0,0,0,0,2.4540404040404,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,-0.2,0,0,0,-0.25,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0
LETMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
