,IDNK,C4orf33,INPP1,S100A4,NQO1,NSUN3,CCNI,C16orf58,RP11-386I14,G6PD,HLA-DPB1,ERGIC2,SIRT6,LACTB,NSL1,NUDT18,CD247,UNC45A,ATXN10,MRPL14,STAMBPL1,TMEM129,PHF1,CD46,HIST1H1E,MX1,WDR4,TBC1D7,OSTF1,CLEC2D,RPS11,HSPA5,PRKAR1A,EBPL,LGALS8,COX6C,CCDC92,RBM10,SAMSN1,LETMD1,SVIP,GCLM,BLZF1,TMEM71,AKAP8L,DHRS7,GPR114,GMFB,KIAA0947,HSPA14,NSMCE1,LENG1,UBA1,CDIPT,TRAPPC6A,ERGIC1,C1orf174,PMM1,PTP4A1,HPS4,RP5-827C21,FYN,AHSA2,CLINT1,THRAP3,SUDS3,PIM2,USP11,UBE2F,GAB3,RTN3,VAPA,RP11-1094M14,FLI1,TAGAP,WDR1,C6orf1,PASK,SLC52A2,USP48,STAG2,SYPL1,BAK1,MCMBP,PANK2,SNHG15,FCHO1,CAPG,WDR60,COX11,ATE1,ZMYM2,RSU1,PIK3R1,KBTBD4,SSU72,THEM4,SF3A2,BRK1,COPB1
CLINT1,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.125,0,0,0,0,-0.125,-0.0869565217391304,-0.0833333333333333,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.0909090909090909,0,-0.125,0,0,0,0,0,0,0,1.88891567369828,0,0,0,-0.111111111111111,0,0,-0.1,-0.2,0,0,0,0,0,0,0,-0.142857142857143,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111
THRAP3,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285714285714286,0,0,0,0,0,0,0,-0.2,0,0,0,0,-0.25,0,-0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,2.48049450549451,-0.5,0,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,-0.222222222222222,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,-0.166666666666667,0,-0.142857142857143,0,0
SUDS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,2.20833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,-0.333333333333333,0,0,-0.25,0,0,0,0
PIM2,0,0,-0.25,0,-0.111111111111111,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,-0.333333333333333,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.25,0,0,0,0,0,0,0,2.79848484848485,0,0,-0.2,-0.111111111111111,-0.1,0,0,0,0,0,-0.2,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0
USP11,0,0,0,0,-0.0833333333333333,0,-0.111111111111111,0,0,-0.0714285714285714,0,-0.1,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,-0.1,-0.0384615384615385,-0.0714285714285714,0,0,0,0,-0.1,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,-0.111111111111111,0,0,-0.230769230769231,0,0,-0.1,0,0,0,0,0,0,0,-0.111111111111111,-0.111111111111111,0,0,2.69297924297924,-0.166666666666667,0,0,-0.0769230769230769,0,-0.142857142857143,0,0,0,0,0,-0.25,-0.0833333333333333,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,-0.111111111111111,0,0
UBE2F,0,0,0,0,-0.142857142857143,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,1.81111111111111,0,0,0,0,-0.5,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0
GAB3,0,0,0,0,-0.111111111111111,0,0,0,0,0,-0.25,0,0,0,0,0,-0.428571428571429,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,-0.333333333333333,-0.2,0,-0.0909090909090909,-0.0909090909090909,0,0,0,0,0,-0.2,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.2,0,0,3.89574314574315,0,0,0,-0.25,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.0909090909090909,0,0,-0.333333333333333,0,0,0
RTN3,0,0,-0.125,0,-0.0769230769230769,0,0,0,0,-0.142857142857143,0,-0.0909090909090909,-0.1,-0.142857142857143,0,0,0,-0.111111111111111,0,0,-0.166666666666667,0,0,-0.125,0,-0.0909090909090909,0,0,0,0,0,-0.12,-0.142857142857143,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.1,0,0,-0.0625,-0.153846153846154,0,-0.0909090909090909,0,-0.222222222222222,0,0,0,-0.0714285714285714,-0.125,-0.1,0,0,-0.111111111111111,0,0,0,3.98718697968698,-0.25,0,0,0,-0.166666666666667,0,0,0,0,0,-0.1,-0.222222222222222,0,0,0,0,0,0,0,-0.222222222222222,0,0,-0.142857142857143,0,0,0,0,0,-0.3
VAPA,0,0,-0.111111111111111,0,-0.0714285714285714,0,0,0,0,-0.214285714285714,0,-0.181818181818182,-0.0909090909090909,0,0,0,-0.0714285714285714,-0.1,0,0,-0.0714285714285714,0,0,-0.111111111111111,0,-0.3,0,0,0,0,-0.0833333333333333,-0.115384615384615,0,0,0,0,0,0,0,0,-0.125,-0.1,-0.333333333333333,0,0,0,0,0,0,-0.0909090909090909,0,0,-0.125,-0.142857142857143,0,-0.181818181818182,0,-0.2,0,-0.1,0,-0.0666666666666667,-0.111111111111111,-0.2,0,0,-0.1,-0.0769230769230769,0,0,-0.25,5.06747419247419,0,0,0,-0.153846153846154,0,-0.1,0,-0.2,0,-0.0909090909090909,-0.0909090909090909,0,0,0,-0.125,0,0,0,-0.2,0,0,-0.214285714285714,0,0,0,0,0,-0.166666666666667
RP11-1094M14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLI1,0,0,0,0,-0.125,0,0,0,0,-0.1,-0.333333333333333,0,0,0,0,0,-0.125,0,0,0,-0.125,0,0,0,0,0,0,0,0,-0.25,0,-0.0454545454545455,0,0,0,0,0,-0.166666666666667,-0.25,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,-0.5,-0.25,0,0,0,3.31331168831169,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0
TAGAP,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,-0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,-0.0666666666666667,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625,0,0,0,0,0,0,-0.111111111111111,0,-0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,1.29978771228771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,-0.142857142857143,0,0,0,0,0
WDR1,0,0,0,0,-0.0769230769230769,0,-0.1,0,0,-0.0666666666666667,0,-0.0909090909090909,-0.1,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,-0.037037037037037,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.1,0,0,-0.133333333333333,-0.0714285714285714,0,-0.0909090909090909,0,-0.1,0,0,0,-0.0714285714285714,-0.125,0,0,0,0,0,0,0,-0.166666666666667,-0.153846153846154,0,0,0,2.54642487142487,0,0,0,0,-0.0769230769230769,-0.1,-0.1,0,0,0,0,0,0,0,-0.222222222222222,0,0,-0.0666666666666667,0,0,0,-0.1,0,-0.0833333333333333
C6orf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASK,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.0434782608695652,-0.0909090909090909,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.25,-0.2,0,-0.1,0,0,0,0,-0.2,0,0,-0.2,0,-0.1,0,0,0,0,0,3.1328722002635,0,-0.166666666666667,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,-0.0909090909090909,0,0,-0.333333333333333,0,0,0
SLC52A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP48,0,0,0,0,-0.1,0,0,0,0,-0.181818181818182,0,0,0,0,0,0,-0.1,0,0,0,-0.222222222222222,0,0,-0.2,0,0,0,0,0,0,-0.285714285714286,-0.0416666666666667,0,0,0,0,0,-0.285714285714286,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,-0.2,-0.166666666666667,0,0,0,-0.142857142857143,0,0,0,-0.25,-0.25,0,0,-0.2,0,-0.2,0,0,0,-0.166666666666667,0,3.71951659451659,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.0833333333333333,0,0,0,0,0,0
STAG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625,0,0,0,0,0,0,0,0,0,0,0,-0.222222222222222,-0.125,0,-0.0833333333333333,0,0,0,0,0,0,0,-0.0769230769230769,0,0,0,0,1.19977661227661,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666666666666667,0,-0.25,0,-0.222222222222222,0,0
SYPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.125,0,0,0,0,0,-0.19047619047619,-0.0833333333333333,0,0,0,0,0,0,0,-0.25,0,-0.142857142857143,0,0,-0.2,0,-0.25,0,0,0,0,-0.0769230769230769,-0.2,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,-0.1,-0.0909090909090909,0,0,0,-0.1,0,0,0,0,0,2.70632423132423,0,-0.2,0,0,0,0,0,0,-0.142857142857143,0,-0.2,0,0,0,0,0,0,-0.111111111111111
BAK1,0,0,0,0,-0.1,0,0,0,0,-0.181818181818182,0,-0.125,-0.6,0,0,0,0,-0.4,0,0,0,0,0,-0.2,0,-0.125,0,0,0,0,0,-0.0869565217391304,0,0,0,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.166666666666667,-0.0909090909090909,0,-0.125,0,-0.142857142857143,0,0,0,-0.2,-0.2,0,0,0,0,0,0,0,-0.222222222222222,-0.0909090909090909,0,0,0,-0.1,0,0,0,0,0,0,4.17638653616914,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.0833333333333333,0,0,0,0,0,-0.25
MCMBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,-0.5,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,-0.2,0,2.44545454545455,0,0,0,0,0,0,-0.2,0,-0.333333333333333,0,0,0,0,0,0,0
PANK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCHO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43452380952381,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667
CAPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ATE1,0,0,0,0,-0.222222222222222,0,0,0,0,-0.181818181818182,0,-0.125,-0.142857142857143,0,0,0,0,-0.166666666666667,0,0,-0.1,0,0,0,0,-0.125,0,0,0,0,0,-0.0869565217391304,0,0,0,0,0,-0.125,0,0,0,-0.166666666666667,0,0,0,-0.2,0,-0.25,0,-0.142857142857143,0,0,-0.0769230769230769,-0.0909090909090909,0,-0.125,0,-0.142857142857143,0,0,0,-0.0909090909090909,-0.2,0,0,0,0,-0.111111111111111,-0.25,0,-0.222222222222222,-0.2,0,-0.2,0,-0.222222222222222,0,0,0,-0.142857142857143,0,-0.142857142857143,-0.142857142857143,-0.2,0,0,0,0,0,0,4.99021437499698,0,-0.2,-0.0833333333333333,0,0,0,0,0,-0.111111111111111
ZMYM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454545454545455,-0.1,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.111111111111111,0,0,-0.2,-0.333333333333333,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2760101010101,-0.333333333333333,0,0,-0.25,-0.5,0,0,0
RSU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454545454545455,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,-0.333333333333333,0,-0.5,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,-0.333333333333333,0,0,0,0,0,0,-0.2,-0.333333333333333,3.39545454545455,0,0,-0.25,0,0,0,0
PIK3R1,0,0,-0.1,0,-0.142857142857143,0,-0.0833333333333333,0,0,-0.2,-0.1,-0.0769230769230769,-0.0833333333333333,0,0,0,-0.142857142857143,-0.0909090909090909,0,0,0,0,-0.111111111111111,-0.1,0,-0.0769230769230769,0,0,-0.111111111111111,-0.0909090909090909,0,-0.0714285714285714,-0.125,0,0,0,0,0,-0.0909090909090909,0,0,-0.0909090909090909,-0.0833333333333333,0,0,0,0,0,0,-0.0833333333333333,0,0,-0.0555555555555556,-0.0625,0,-0.0769230769230769,0,-0.181818181818182,0,-0.0909090909090909,0,-0.214285714285714,-0.1,0,0,0,-0.2,0,0,-0.0909090909090909,-0.142857142857143,-0.214285714285714,0,0,-0.142857142857143,-0.0666666666666667,0,-0.0909090909090909,0,-0.0833333333333333,-0.0666666666666667,0,-0.0833333333333333,0,0,0,0,0,0,0,-0.0833333333333333,0,0,4.17375263625264,0,0,0,0,0,-0.0714285714285714
KBTBD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0
SSU72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,2,0,-0.166666666666667,0,0
THEM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,-0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,1.71825396825397,0,0,0
SF3A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-0.0416666666666667,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769230769230769,0,0,-0.125,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.111111111111111,0,0,0,0,0,0,0,-0.1,0,0,0,0,-0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,1.347557997558,0,-0.111111111111111
BRK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPB1,0,0,0,0,-0.0833333333333333,0,0,0,0,-0.0714285714285714,0,-0.222222222222222,-0.111111111111111,0,0,0,0,-0.125,0,0,-0.181818181818182,0,0,-0.142857142857143,0,-0.1,0,0,0,0,-0.222222222222222,-0.173913043478261,-0.0714285714285714,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,-0.111111111111111,0,0,-0.0666666666666667,-0.166666666666667,0,-0.222222222222222,0,-0.111111111111111,0,-0.125,0,-0.0769230769230769,-0.142857142857143,-0.111111111111111,0,0,0,0,0,0,-0.3,-0.166666666666667,0,0,0,-0.0833333333333333,0,0,0,0,0,-0.111111111111111,-0.25,0,0,0,-0.166666666666667,0,0,0,-0.111111111111111,0,0,-0.0714285714285714,0,0,0,-0.111111111111111,0,4.1354320799973
