,0
0,43.3763842152745
1,43.356130210897604
2,43.33371511750644
3,43.30946173198538
4,43.281696649268056
5,43.253637960289105
6,43.23407796528871
7,43.2130948613437
8,43.19457010204995
9,43.17244863199793
10,43.15342995700246
11,43.13394934009919
12,43.1133710516385
13,43.095776261132194
14,43.07666766472377
15,43.05967621177485
16,43.04526514878473
17,43.02852424716885
18,43.011913042642476
19,42.99468400342837
20,42.98194026725272
21,42.96597194096542
22,42.95038511858639
23,42.93492836214062
24,42.91837360414895
25,42.90335247791755
26,42.88871138898902
27,42.87328643127913
28,42.858930100406354
29,42.84613328846388
30,42.82769326620424
31,42.816410364405236
32,42.80332536197231
33,42.788955921565076
34,42.7780091046675
35,42.766757542146465
36,42.75523823432808
37,42.74518445281664
38,42.73440258738973
39,42.72175367743747
40,42.71050971048313
41,42.700671398910714
42,42.691130213952235
43,42.680565865876154
44,42.66961036210637
45,42.661884483761305
46,42.65351764798357
47,42.644953908116925
48,42.635841163810966
49,42.62681055163289
50,42.619705739660226
